TEST	MIN	MAX	MEAN	VAR	S.DEV
noST1	10	22	16.29	4.85	2.20
trST1	13	26	21.71	4.08	2.02
reST1	11	23	18.49	4.68	2.16
rpST1	6	43	17.89	26.59	5.16
rtST1	5	13	9.46	2.33	1.53
rt251	4	14	9.34	2.52	1.59
bt251	13	26	21.73	3.82	1.95
bgST1	11	22	16.41	5.49	2.34
rgST1	11	24	18.20	4.65	2.16
cprST1	9	25	16.86	9.25	3.04
btST1	17	25	21.92	2.80	1.67
rtST1	4	16	9.25	2.69	1.64
