TEST	MIN	MAX	MEAN	VAR	S.DEV
noST1	31	66	54.86	30.88	5.56
trST1	3	11	6.28	1.93	1.39
reST1	40	67	56.75	18.25	4.27
rpST1	24	89	63.83	149.03	12.21
rtST1	4	10	6.16	1.06	1.03
rt251	4	12	6.25	1.23	1.11
bt251	3	11	6.38	1.64	1.28
bgST1	32	66	55.10	24.49	4.95
rgST1	42	66	56.27	21.74	4.66
cprST1	9	88	64.91	142.38	11.93
btST1	3	11	6.32	2.06	1.43
rtST1	4	11	6.39	1.51	1.23
