TEST	MIN	MAX	MEAN	VAR	S.DEV
noST1	28	51	39.30	17.10	4.13
trST1	27	55	46.38	19.02	4.36
reST1	20	49	38.70	15.08	3.88
rpST1	20	58	45.48	69.77	8.35
rtST1	18	48	35.56	25.96	5.09
rt251	13	49	35.56	21.56	4.64
bt251	29	57	46.44	18.88	4.34
bgST1	27	51	40.10	18.95	4.35
rgST1	27	47	37.98	13.80	3.71
cprST1	20	60	45.52	55.26	7.43
btST1	31	56	46.85	16.38	4.05
rtST1	19	47	35.32	21.93	4.68
