TEST	MIN	MAX	MEAN	VAR	S.DEV
noST1	27	68	53.09	32.46	5.70
trST1	51	79	68.83	19.19	4.38
reST1	40	67	56.72	18.90	4.35
rpST1	24	88	64.38	130.10	11.41
rtST1	59	89	87.75	9.18	3.03
rt251	60	89	87.75	9.88	3.14
bt251	51	81	69.00	19.33	4.40
bgST1	24	67	53.62	29.53	5.43
rgST1	39	66	56.63	23.33	4.83
cprST1	28	88	63.48	134.77	11.61
btST1	51	77	68.94	21.28	4.61
rtST1	62	89	87.62	13.93	3.73
