TEST	MIN	MAX	MEAN	VAR	S.DEV
noST1	31	56	40.62	21.77	4.67
trST1	25	53	44.23	17.23	4.15
reST1	38	68	56.02	23.25	4.82
rpST1	39	82	65.23	81.85	9.05
rtST1	23	52	41.01	27.70	5.26
rt251	27	54	41.35	25.93	5.09
bt251	28	54	44.24	17.03	4.13
bgST1	29	56	41.84	20.03	4.48
rgST1	33	65	54.95	24.43	4.94
cprST1	33	83	64.41	85.29	9.24
btST1	25	54	43.87	15.68	3.96
rtST1	25	55	41.56	22.04	4.69
