NAME	0	1	2	3	4	5	6	7	TOT
noST1	0	61.31	61.76	61.92	0	0	0	0	185.00
trST1	0	182.99	0	1.98	0	0	0.04	0	185.00
reST1	0	52.20	53.10	52.55	0	0	0	0	157.85
rpST1	0	50.70	50.57	51.33	0	0	0	0	152.59
rtST1	0	158.63	0	1.70	0	0	0.03	0	160.36
rt251	0	158.03	0	1.72	0	0	0.01	0	159.76
bt251	0	183.01	0	1.98	0	0	0.01	0	185.00
bgST1	0	61.19	61.91	61.90	0	0	0	0	185.00
rgST1	0	52.27	52.70	52.34	0	0	0	0	157.31
cprST1	0	50.77	50.51	49.49	0	0	0.09	0	150.86
btST1	0	183.01	0	1.99	0	0	0	0	185.00
rtST1	0	156.97	0	1.73	0	0	0.04	0	158.74
