TEST	MIN	MAX	MEAN	VAR	S.DEV
noST1	32	66	55.03	26.74	5.17
trST1	55	78	69.44	17.37	4.17
reST1	40	66	56.36	18.27	4.27
rpST1	33	89	64.36	136.93	11.70
rtST1	62	91	88.18	15.71	3.96
rt251	60	92	88.44	13.60	3.69
bt251	52	79	69.31	18.52	4.30
bgST1	28	66	54.57	25.07	5.01
rgST1	38	67	56.37	19.11	4.37
cprST1	16	86	63.08	162.77	12.76
btST1	54	78	69.34	15.47	3.93
rtST1	63	92	88.23	13.62	3.69
