TEST	MIN	MAX	MEAN	VAR	S.DEV
noST1	38	60	48.17	17.56	4.19
trST1	29	57	46.50	18.42	4.29
reST1	32	56	44.27	14.63	3.82
rpST1	23	67	50.28	89.47	9.46
rtST1	18	47	36.58	20.65	4.54
rt251	22	49	37.44	22.95	4.79
bt251	30	55	46.95	16.83	4.10
bgST1	36	62	48.81	18.97	4.36
rgST1	23	53	42.91	21.99	4.69
cprST1	17	66	50.08	69.54	8.34
btST1	35	55	47.17	11.00	3.32
rtST1	19	47	36.38	22.01	4.69
