TEST	MIN	MAX	MEAN	VAR	S.DEV
b200n	54	74	65.03	16.35	4.04
r200n	84	89	88.64	0.39	0.63
R200n	58	89	82.75	83.57	9.14
t200n	87	89	88.67	0.26	0.51
btNL1	67	83	76.41	9.75	3.12
rtNL1	86	89	88.69	0.28	0.53
bgNL1	51	77	65.12	16.79	4.10
rgNL1	87	89	88.66	0.28	0.53
rpNL1	43	89	81.58	114.73	10.71
