NAME	0	1	2	3	4	5	6	TOT
b200n	89.00	0	0	0	0	0	0	89.00
r200n	88.65	0	0	0	0	0	0	88.65
R200n	82.50	0	0.34	0	0	0	0	82.84
t200n	88.69	0	0	0	0	0	0	88.69
btNL1	89.00	0	0	0	0	0	0	89.00
rtNL1	88.72	0	0	0	0	0	0	88.72
bgNL1	89.00	0	0	0	0	0	0	89.00
rgNL1	88.70	0	0	0	0	0	0	88.70
rpNL1	81.59	0	0	0	0	0	0	81.59
