TEST	MIN	MAX	MEAN	VAR	S.DEV
b200n	42	82	56.99	38.02	6.17
r200n	64	90	68.64	43.91	6.63
R200n	11	75	46.02	70.43	8.39
t200n	41	58	51.98	7.40	2.72
btNL1	53	85	62.53	47.67	6.90
rtNL1	53	95	65.74	68.11	8.25
bgNL1	42	73	50.71	14.17	3.76
rgNL1	47	69	53.10	12.53	3.54
rpNL1	30	69	45.83	41.07	6.41
