NAME	0	1	2	3	4	5	6	TOT
b200n	48.41	59.45	30.20	0	0	0	27.59	165.65
r200n	9.36	54.59	30.75	0	0	0	26.14	120.84
R200n	9.54	61.60	2.62	0	0	0	90.73	164.49
t200n	10.74	94.26	0	0	0	0	13.05	118.06
btNL1	32.91	58.56	61.08	0	0	0	0.94	153.49
rtNL1	7.04	55.65	59.97	0	0	0	0.81	123.45
bgNL1	47.27	43.73	0	0	0	0	62.55	153.56
rgNL1	9.49	46.73	0	0	0	0	60.82	117.05
rpNL1	9.54	60.05	0	0	0	0	87.74	157.33
