TEST	MIN	MAX	MEAN	VAR	S.DEV
b200n	0	25	10.05	24.19	4.92
r200n	0	25	10.20	31.35	5.60
R200n	3	46	26.37	70.14	8.38
t200n	16	40	28.30	32.42	5.69
btNL1	0	28	17.21	26.43	5.14
rtNL1	0	25	16.79	32.82	5.73
bgNL1	3	27	20.25	12.50	3.54
rgNL1	4	27	17.62	15.82	3.98
rpNL1	0	46	22.84	69.13	8.31
