TEST	MIN	MAX	MEAN	VAR	S.DEV
b200n	3	37	25.74	51.32	7.16
r200n	5	38	25.73	50.92	7.14
R200n	10	50	29.95	63.04	7.94
t200n	17	47	32.05	65.19	8.07
btNL1	6	30	22.40	30.55	5.53
rtNL1	5	34	23.61	40.01	6.33
bgNL1	8	48	38.98	42.64	6.53
rgNL1	19	52	40.09	42.96	6.55
rpNL1	9	65	34.49	139.74	11.82
