TEST	MIN	MAX	MEAN	VAR	S.DEV
b200n	3	26	12.44	25.76	5.08
r200n	3	27	11.62	23.46	4.84
R200n	7	48	31.55	46.29	6.80
t200n	21	47	33.12	39.70	6.30
btNL1	3	20	13.06	10.82	3.29
rtNL1	4	19	11.48	7.34	2.71
bgNL1	8	36	22.08	8.20	2.86
rgNL1	8	31	19.48	11.96	3.46
rpNL1	9	46	30.48	40.42	6.36
