TEST	MIN	MAX	MEAN	VAR	S.DEV
b200n	7	45	31.46	55.96	7.48
r200n	7	47	31.49	68.16	8.26
R200n	26	78	41.60	36.95	6.08
t200n	13	24	18.32	6.85	2.62
btNL1	21	86	69.63	69.51	8.34
rtNL1	48	80	62.80	27.47	5.24
bgNL1	14	50	35.76	24.81	4.98
rgNL1	35	60	44.20	14.68	3.83
rpNL1	20	66	43.13	41.50	6.44
