NAME	0	1	2	3	4	5	6	TOT
b200n	0	68.79	3.87	63.88	0	0	0	136.53
r200n	0	66.53	3.56	65.40	0	0	0	135.50
R200n	0	155.41	0.30	10.36	0	0	0	166.07
t200n	0	89.56	0	29.00	0	0	0	118.56
btNL1	0	88.28	0	2.32	0	0	0	90.59
rtNL1	0	88.34	0	2.17	0	0	0	90.52
bgNL1	0	134.85	0	16.69	0	0	0	151.54
rgNL1	0	135.63	0	15.70	0	0	0	151.33
rpNL1	0	158.07	0.02	6.43	0	0	0	164.52
