TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	7	32	18.47	28.47	5.34
rt491	1	50	18.24	116.44	10.79
bg491	0	8	2.92	3.19	1.79
rg491	0	10	2.89	4.56	2.13
rp491	0	25	10.33	23.92	4.89
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	9	2.73	3.84	1.96
rg492	0	12	3.12	4.23	2.06
cpr492	0	35	8.59	31.64	5.63
