TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	29	7.35	27.03	5.20
rt491	0	10	1.23	3.02	1.74
bg491	0	11	2.10	3.37	1.84
rg491	0	4	0.78	0.99	1.00
rp491	0	15	4.18	6.41	2.53
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	9	2.26	3.91	1.98
rg492	0	4	1.11	1.24	1.11
cpr492	0	16	4.34	10.50	3.24
