TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	13	3.66	6.52	2.55
rt491	0	2	0.42	0.34	0.59
bg491	0	5	1.06	1.14	1.07
rg491	0	3	0.53	0.33	0.57
rp491	1	24	8.69	20.87	4.57
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	4	0.86	1.10	1.05
rg492	0	2	0.37	0.31	0.56
cpr492	0	24	9.14	22.08	4.70
