NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	0.62	0.11	57.58	21.29	9.12	0.06	0.70	0.01	0.05	0.45	0.61	0.11	0.04	0.28	0	0.01	0.04	0.01	0.05	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	91.17
rt491	0.20	0.33	20.16	6.34	4.04	1.56	0.08	0.03	0.01	0.01	0.18	0.32	0.11	0.01	0	0.02	0.01	0.02	0.01	0.01	0.02	0	0	0	0	0.01	0	0.01	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.51
bg491	7.39	7.92	9.37	12.05	5.50	10.54	15.92	7.12	8.50	7.89	6.77	0.65	0.65	0	0	6.49	5.37	7.12	7.55	0.70	0.06	0	0	3.88	1.03	0.80	0	0	0.95	3.47	0.56	7.27	0.47	0.15	0	0	5.93	0	0	0	0	0	0	0	0.03	0	0	0	0	152.10
rg491	2.31	2.04	2.41	2.62	1.51	2.31	3.65	1.84	2.57	1.16	1.85	0.39	0.24	0	0	1.15	1.35	1.84	2.20	0.40	0.07	0	0	0.75	0.41	0.28	0	0	0.37	0.63	0.39	1.65	0.32	0.14	0	0	1.53	0	0	0	0	0	0	0	0	0	0	0	0	38.38
rp491	10.92	10.17	10.06	9.77	10.78	11.04	7.31	6.98	11.48	7.84	4.26	4.95	3.66	1.18	0	3.18	3.74	3.78	9.94	3.78	1.91	0	0	2.78	5.02	4.41	0	1.70	0.27	3.11	3.73	3.90	2.21	1.37	1.79	0	1.86	0	0.70	0.88	1.02	1.32	0	0	0.93	0	1.32	1.50	0.57	177.12
bt492	0	0	62.05	19.49	6.36	0.65	1.53	0	0	0.09	0.62	0.15	0.08	0.02	0	0.03	0.03	0.05	0.01	0.02	0.01	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	91.23
rt492	0	0	20.83	6.09	5.30	1.46	0.27	0	0	0	0.30	0.10	0.03	0.02	0	0.03	0.02	0.02	0.02	0	0	0	0	0	0.02	0.02	0	0.05	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	34.60
bg492	0	0	8.89	7.04	4.36	2.94	3.45	0	0	4.93	6.43	0.73	0.31	0	0	7.75	5.66	7.26	7.52	0.37	0.05	0	0	4.20	0.52	0.44	0	0	1.31	3.34	0.30	7.46	0.47	0.12	0	0	5.73	0	0	0	0	0	0	0	0	0	0	0	0	91.58
rg492	0	0	3.09	2.01	1.21	1.06	0.70	0	0	0.21	2.12	0.45	0.27	0	0	1.65	1.57	1.92	2.28	0.38	0.03	0	0	0.90	0.40	0.42	0	0	0.33	0.72	0.32	1.99	0.26	0.08	0	0	1.52	0	0	0	0	0	0	0	0	0	0	0	0	25.89
cpr492	0	0	6.37	3.89	2.67	2.82	0.32	0	0	0.03	4.22	5.89	2.86	1.02	0	3.20	4.45	4.29	9.56	3.53	1.62	0	0	3.44	3.86	3.43	0	1.41	0.27	3.88	3.63	3.82	3.11	1.87	1.93	0	1.86	0	0.84	1.00	1.29	1.27	0	0	0.70	0	1.48	1.34	0.59	97.76
