TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	21	7.02	24.36	4.94
rt491	0	17	2.62	15.14	3.89
bg491	0	12	2.44	4.89	2.21
rg491	0	9	0.94	2.96	1.72
rp491	0	12	4.24	7.86	2.80
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	9	2.29	3.01	1.73
rg492	0	8	1.02	2.82	1.68
cpr492	0	14	4.41	8.30	2.88
