TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	16	5.00	10.84	3.29
rt491	0	20	1.78	10.21	3.20
bg491	0	5	1.62	2.06	1.43
rg491	0	3	0.20	0.26	0.51
rp491	0	11	3.66	5.46	2.34
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	6	1.78	1.77	1.33
rg492	0	5	0.33	0.62	0.79
cpr492	0	14	3.91	6.46	2.54
