NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	0.15	37.92	32.07	13.63	4.97	0.05	0.90	0.02	0.37	0.15	0.15	0.05	0.02	0.01	0	0	0.02	0.02	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.54
rt491	0.02	18.24	14.33	5.66	1.50	0.61	0.98	0.07	0.47	0.06	0.02	0.03	0.03	0	0	0	0.07	0.07	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.31
bg491	7.34	11.21	12.61	7.23	12.50	4.10	12.74	6.58	13.32	8.82	7.15	0.13	0.03	0	7.77	2.29	5.47	6.58	6.51	0	0.03	1.62	5.32	0.82	0.30	0	0	0	0	0.71	0.16	3.22	0.19	0	0	0	6.46	0	0	0	0	0	0	0.03	0	0	0	0	0	151.24
rg491	2.41	3.94	3.59	2.03	2.36	1.13	4.66	2.19	4.25	2.92	2.33	0.14	0	0	1.14	0.53	2.46	2.16	2.34	0	0	0.35	1.47	0.16	0.13	0	0	0	0	0.20	0.08	0.98	0.08	0	0	0	1.99	0.03	0	0	0	0	0	0	0	0	0	0	0	46.05
rp491	7.34	12.66	11.49	9.16	9.49	6.90	11.80	7.51	16.60	10.03	4.26	2.88	2.97	0.90	2.02	3.69	6.00	4.75	6.42	1.33	0.78	0.01	3.46	2.37	4.10	0	1.48	0.95	0	3.10	1.60	3.22	1.82	1.46	0.81	0	1.70	1.00	0.74	1.04	0.70	0.80	0	0.32	0.75	0.51	0.69	0.81	0.87	173.29
bt492	0	46.04	29.96	10.74	2.55	0.03	1.32	0	0.07	0.19	0.01	0.03	0.03	0.02	0.01	0	0.02	0.02	0	0.01	0.01	0	0	0.01	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0.01	0	0	0	0.01	91.14
rt492	0	18.90	16.19	4.66	2.45	0.11	0.75	0	0.02	0.11	0.01	0.01	0.03	0.01	0.01	0.01	0.03	0.04	0.12	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	43.53
bg492	0	4.85	5.96	6.09	4.80	1.39	0.50	0	6.33	7.91	6.63	0.41	0	0	6.67	3.72	5.99	6.60	7.05	0	0	2.43	5.09	0.43	0.22	0	0	0	0	0.79	0.12	3.50	0.20	0	0	0	5.84	0	0	0	0	0	0	0	0	0	0	0	0	93.52
rg492	0	1.85	2.04	1.73	1.24	0.60	0.21	0	1.85	2.64	2.49	0.16	0.02	0	2.00	0.93	1.90	2.22	2.33	0.02	0	0.17	1.84	0.09	0.13	0	0	0	0	0.27	0.05	1.25	0.09	0	0	0	2.18	0.02	0	0	0	0	0	0	0	0	0	0	0	30.32
cpr492	0	6.55	4.76	4.26	1.65	1.92	1.46	0	8.63	4.53	3.56	2.50	2.32	0.97	2.61	2.57	4.03	5.11	7.10	1.78	0.43	0.05	3.40	2.01	3.59	0	1.80	0.92	0	2.64	1.47	3.42	1.35	1.51	1.03	0	1.75	0.82	0.97	0.85	0.83	0.74	0	0.57	0.61	0.76	0.87	0.97	1.32	100.99
