NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	34.31	0.02	13.60	3.12	1.60	0.88	0.40	0.32	0.02	34.76	33.73	0	0	0	0	0	0	0	0	34.73	0	0	13.32	3.09	1.52	0.88	0.39	0.28	0.01	0.02	0.58	0.02	0.24	0.03	0.04	0	0.01	0.04	0.01	0.01	0	0	0.04	0	0.04	0	0	0	0	178.06
rt491	11.44	0.07	2.50	0.98	0.43	0.73	0.35	0.09	0.03	10.00	11.44	0	0	0	0	0	0	0	0	10.00	0	0	2.50	0.96	0.39	0.72	0.33	0	0.02	0	0	0.06	0	0.01	0.04	0	0.02	0.09	0.01	0	0	0.01	0	0.01	0	0.01	0	0	0	53.24
bg491	8.42	15.82	12.23	7.63	2.97	2.20	11.59	2.53	13.77	12.35	6.47	0	0	0	0	0	0	0	0	1.20	0	0	10.75	6.08	2.13	1.59	1.07	0.01	13.16	10.76	1.92	15.79	1.03	0.87	0.06	0	10.52	2.51	0.61	0.39	0.03	0.03	0.45	0.68	0.78	0.61	0	0.01	0	179.02
rg491	3.88	6.43	3.80	2.82	0.95	0.76	4.45	1.03	5.61	4.35	3.19	0	0	0	0	0	0	0	0	0.46	0	0	3.20	2.15	0.83	0.64	0.25	0	5.50	3.77	0.67	6.43	0.46	0.48	0.07	0	4.20	1.03	0.10	0.12	0.02	0	0.14	0.19	0.05	0.12	0	0	0.01	68.16
rp491	15.93	7.51	7.30	8.44	11.68	8.18	6.66	9.55	8.12	13.84	3.55	0	0	0	0	0	0	0	0	4.11	0	0	2.43	4.23	7.74	5.96	2.70	0.74	3.52	7.75	10.39	6.18	3.83	2.56	1.63	0	3.96	5.50	2.15	1.98	1.99	1.33	1.04	1.65	2.31	2.22	0	3.31	2.45	194.42
bt492	0	0	0	0	0	0	0	0	0	0	33.17	0	0	0	0	0	0	0	0	32.87	0	0	15.26	5.14	0.98	1.16	0.19	0.01	0.01	0.02	0	0.02	0.01	0	0.01	0	0.01	0.05	0	0.01	0	0	0.05	0	0.04	0	0	0	0	89.01
rt492	0	0	0	0	0	0	0	0	0	0	12.25	0	0	0	0	0	0	0	0	8.79	0	0	2.66	1.14	0.94	0.49	0.24	0.01	0.03	0	0	0.03	0	0.02	0.02	0	0.03	0.14	0.03	0.01	0	0.01	0	0	0.01	0.01	0	0.01	0	26.87
bg492	0	0	0	0	0	0	0	0	0	0	6.70	0	0	0	0	0	0	0	0	0.64	0	0	10.79	6.28	1.39	1.10	0.77	0.01	13.40	12.79	1.17	17.55	1.37	0.37	0.15	0	10.65	2.71	0.24	0.06	0.03	0	0.50	0.30	0.43	0.67	0	0	0	90.07
rg492	0	0	0	0	0	0	0	0	0	0	3.27	0	0	0	0	0	0	0	0	0.51	0	0	3.97	2.08	0.80	0.75	0.50	0.09	5.36	4.86	0.76	5.87	0.58	0.27	0.20	0	3.81	1.24	0.10	0.07	0	0.01	0.19	0.29	0.28	0.45	0	0	0	36.31
cpr492	0	0	0	0	0	0	0	0	0	0	3.77	0	0	0	0	0	0	0	0	3.15	0	0	2.52	4.73	7.09	5.20	3.24	0.79	3.82	6.50	7.93	6.09	3.92	2.74	2.17	0	5.18	6.44	2.47	2.14	2.89	1.24	1.52	1.75	2.29	2.76	0	3.21	2.67	98.22
