TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	6	0.62	1.14	1.07
rt491	0	3	0.14	0.22	0.47
bg491	0	5	0.21	0.37	0.60
rg491	0	15	0.43	4.43	2.10
rp491	0	19	6.50	21.63	4.65
