TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	22	5.63	15.31	3.91
rt491	0	12	2.78	6.59	2.57
bg491	0	7	1.93	2.25	1.50
rg491	0	5	1.03	1.39	1.18
rp491	1	16	5.92	12.83	3.58
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	8	2.05	2.53	1.59
rg492	0	6	1.30	1.83	1.35
cpr492	0	11	4.63	6.89	2.63
