TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	1	11	4.80	6.00	2.45
rt491	0	8	2.37	2.75	1.66
bg491	0	5	1.51	1.67	1.29
rg491	0	7	1.98	2.80	1.67
rp491	1	30	12.26	40.31	6.35
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	7	1.87	2.25	1.50
rg492	0	6	1.78	1.67	1.29
cpr492	0	27	12.23	33.50	5.79
