TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	19	1.32	7.98	2.82
rt491	0	18	0.72	6.82	2.61
bg491	0	10	0.66	2.46	1.57
rg491	0	15	0.64	4.93	2.22
rp491	1	29	8.55	30.57	5.53
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	9	0.56	1.69	1.30
rg492	0	14	0.55	3.41	1.85
cpr492	0	29	8.58	32.12	5.67
