NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	0.15	44.59	30.85	15.60	3.20	0.32	0.02	0.82	0.62	0.04	0.15	0.01	0.01	0.02	0.40	0.28	0.01	0.07	0.09	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	97.28
rt491	0.02	33.63	15.90	12.14	1.61	0.23	0.02	0.29	0.60	0.32	0.02	0	0	0	0	0	0.02	0.07	0.42	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.31
bg491	6.41	15.35	8.37	8.38	8.57	3.79	10.58	9.75	18.28	8.09	6.41	0.03	0	0	4.33	1.94	4.02	5.94	6.60	0	0	7.43	1.99	0.20	0	0	0	0	7.36	0.91	0	1.91	0	0	0	0	6.56	0	0	0	0	0	0	0	0	0	0	0	0	153.20
rg491	3.09	7.70	3.88	3.71	3.38	1.56	5.17	3.63	9.08	3.75	3.09	0.06	0	0	1.58	0.85	2.38	3.17	3.18	0	0	3.89	1.21	0.13	0	0	0	0	3.46	0.31	0	0.77	0	0	0	0	2.79	0	0	0	0	0	0	0	0	0	0	0	0	71.82
rp491	8.33	18.48	12.41	7.67	13.94	6.39	9.06	8.68	17.50	9.09	5.42	2.40	0.98	0.05	10.75	2.84	6.32	3.77	4.23	1.03	0.37	3.42	6.52	2.15	0	1.43	0.81	0.26	0.78	2.95	2.09	3.61	1.76	0.83	0.43	0.19	1.34	0.92	0.71	0.77	0.45	0.41	0.32	0.35	0.58	0.33	0.59	0.54	0.57	184.82
bt492	0	50.75	29.37	13.35	1.75	0.03	0	0.31	0.35	0.05	0.03	0.02	0.01	0.02	0	0	0.02	0.08	0.03	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0.01	0	0.02	0	0	0	0.01	96.24
rt492	0	32.47	15.46	10.59	2.00	0.13	0	0	0.07	0.31	0.02	0	0.01	0	0.01	0.01	0	0.04	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.56
bg492	0	3.53	5.51	6.72	4.73	1.36	0	3.52	5.47	7.01	6.28	0.35	0	0	3.99	3.41	4.88	5.82	6.83	0	0	7.18	2.63	0.34	0	0	0.01	0	6.27	0.45	0	2.02	0	0	0	0	5.87	0.08	0	0	0	0	0	0	0	0	0	0	0	94.26
rg492	0	2.72	2.98	2.95	2.07	0.57	0	1.09	2.00	3.38	3.01	0.20	0	0	1.95	1.28	2.36	3.10	3.35	0	0	3.74	0.76	0.08	0	0	0	0	3.13	0.27	0	0.41	0	0	0	0.02	2.88	0.03	0	0	0	0	0	0	0	0	0	0	0	44.33
cpr492	0	7.78	4.95	4.78	1.82	1.71	0	2.72	12.03	4.32	4.49	2.21	0.75	0.06	9.74	3.46	4.30	4.49	5.15	0.99	0.58	3.42	4.42	2.04	0	1.53	0.86	0.23	0.80	2.67	1.97	3.27	1.29	1.09	0.85	0.24	1.39	0.40	0.55	0.71	0.44	0.50	0.67	0.29	0.51	0.52	0.50	0.83	0.56	108.88
