TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	25	5.90	12.13	3.48
rt491	0	11	3.18	5.01	2.24
bg491	0	14	5.79	7.67	2.77
rg491	0	5	2.17	1.56	1.25
rp491	1	39	11.97	38.71	6.22
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	13	5.59	7.84	2.80
rg492	0	7	2.21	1.85	1.36
cpr492	0	36	12.51	54.43	7.38
