TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	1	15	8.41	9.12	3.02
rt491	1	19	7.42	12.58	3.55
bg491	0	14	7.50	8.19	2.86
rg491	2	19	7.27	9.44	3.07
rp491	1	32	13.74	44.75	6.69
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	1	17	7.10	9.91	3.15
rg492	1	15	7.15	7.37	2.71
cpr492	1	25	12.15	31.53	5.61
