TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	1	22	10.66	30.52	5.52
rt491	0	18	3.60	14.08	3.75
bg491	0	14	3.69	7.11	2.67
rg491	0	7	1.89	4.46	2.11
rp491	0	14	4.39	7.38	2.72
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	12	3.21	5.87	2.42
rg492	0	13	2.17	5.84	2.42
cpr492	0	18	5.01	11.51	3.39
