TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	16	4.24	10.72	3.27
rt491	0	16	1.44	9.57	3.09
bg491	0	9	1.90	3.03	1.74
rg491	0	15	1.04	4.10	2.02
rp491	0	17	3.88	8.53	2.92
