NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	0.87	3.50	64.45	0.23	11.99	2.27	2.09	2.34	0.02	1.24	0	0	64.39	0	0	0.28	0	1.12	0	1.24	0	0	0	0	11.92	1.99	2.08	1.18	0	0	0.87	3.50	0.03	0.04	0.02	0	0	0.04	0.02	0	0	0	0.03	0.19	0.05	0	0.01	0	0	178.00
rt491	0.26	0.16	15.57	0.02	5.09	0.97	0.15	0.23	0	0.21	0	0	15.57	0	0	0	0	0	0	0.21	0	0	0	0	5.08	0.97	0.15	0.21	0	0	0.23	0.14	0	0.02	0.01	0	0	0.02	0	0	0.03	0.02	0	0	0	0	0	0	0	45.32
bg491	3.20	48.84	6.57	3.72	7.53	4.36	2.46	4.05	1.37	7.52	0	0	2.84	0	0	0.19	0	0.09	0.08	0.74	0	0	0	0	4.60	2.95	1.85	0.60	0	5.80	2.70	47.96	2.60	2.32	0.94	0	0	3.36	1.24	0.98	0.50	0.88	1.13	1.40	1.99	1.22	0.61	0	0.05	179.24
rg491	0.78	13.65	1.28	0.69	1.45	0.72	0.37	1.11	0.21	0.33	0	0	0.46	0	0	0	0	0	0	0.06	0	0	0	0	1.10	0.58	0.27	0.09	0	0.08	0.71	13.58	0.68	0.56	0.13	0	0	1.02	0.18	0.19	0.07	0.07	0.14	0.13	0.22	0.14	0.10	0	0.03	41.18
rp491	10.22	9.99	12.04	7.03	15.91	10.89	7.89	6.37	5.71	4.26	0	0	6.16	0	0	0	0	0	0	0.27	0	0	0	0	10.37	6.86	4.65	2.58	0	0.03	6.68	7.99	5.14	5.04	2.80	0	0	3.79	3.13	3.96	3.54	2.00	0.74	1.99	2.74	4.03	3.24	0	2.58	180.62
bt492	0	0	0	0	0	0	0	0	0	0	0	0	56.86	0	0	0.01	0	0.46	0.60	3.26	0	0	0	0	14.18	4.86	4.18	1.21	0	0.58	0.05	2.35	0.01	0.02	0.01	0	0	0.04	0.04	0.01	0.20	0	0.03	0	0.03	0	0	0	0.01	89.00
rt492	0	0	0	0	0	0	0	0	0	0	0	0	18.88	0	0	0	0	0	0	0.12	0	0	0	0	4.19	1.08	0.85	0.33	0	0.02	0.35	1.32	0.03	0.04	0.19	0	0	0.02	0	0.02	0	0.02	0	0	0.02	0	0.02	0	0	27.50
bg492	0	0	0	0	0	0	0	0	0	0	0	0	2.03	0	0	0.40	0	0.99	0.31	0.41	0	0	0	0	2.72	2.10	1.68	0.60	0	5.46	1.93	53.22	2.96	1.60	0.86	0	0	4.98	0.80	0.23	0.36	0.09	1.18	0.92	1.26	1.52	0.71	0	0.07	89.39
rg492	0	0	0	0	0	0	0	0	0	0	0	0	0.61	0	0	0	0	0	0	0.09	0	0	0	0	1.21	0.71	0.49	0.24	0	0.06	0.57	14.49	1.03	0.73	0.24	0	0	0.85	0.25	0.27	0.23	0.24	0.16	0.40	0.35	0.42	0.21	0	0.05	23.90
cpr492	0	0	0	0	0	0	0	0	0	0	0	0	6.93	0	0	0	0	0	0	0.25	0	0	0	0	9.60	6.58	4.73	2.57	0	0.03	5.89	8.25	6.11	5.12	3.14	0	0	4.09	3.27	3.09	3.14	1.99	0.91	1.58	2.75	4.21	3.33	0	3.15	90.71
