NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	49.39	0	30.64	0.01	5.78	0.81	0.94	1.45	0	0	49.38	0	30.62	0	5.76	0.80	0.93	1.43	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0.01	0	0	0	0.01	0.01	0	0.02	0	0	0	0	0	0	0.01	0	0.01	0	0	178.04
rt491	14.38	0.01	6.65	0	0.46	0.47	0.58	0.25	0.01	0	14.38	0	6.47	0	0.44	0.47	0.56	0.21	0	0	0	0	0.17	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0.04	0.01	0	0	0	0.01	0	0.01	0	0.01	0	0	45.62
bg491	6.47	8.46	9.30	4.63	14.28	11.91	13.46	9.84	7.25	5.50	5.73	0	0.65	0	13.02	11.05	6.17	7.97	0	0	0	0	8.00	4.23	1.03	0.68	0	0	7.05	5.29	0.74	8.43	0.56	0.26	0.03	0.18	7.26	1.87	0.20	0.21	0	0.03	0.09	0.14	0.20	0	0.03	0	0	182.20
rg491	2.15	2.15	2.79	1.10	1.96	2.23	3.79	2.84	2.02	1.22	1.93	0	0.17	0	1.73	1.87	1.61	2.17	0	0	0	0	2.36	1.03	0.20	0.30	0	0	2.00	1.21	0.22	2.15	0.23	0.07	0	0.06	2.18	0.67	0.02	0.01	0	0	0.03	0	0.03	0	0	0	0	44.50
rp491	10.42	6.45	13.46	5.84	8.40	7.48	9.47	11.71	6.58	5.76	3.77	0	2.62	0	0.85	4.04	3.67	4.34	0	0	0	0	6.65	2.91	3.51	2.91	0	0	2.66	2.95	4.64	4.99	3.08	1.52	1.53	0.53	3.65	5.12	2.32	2.81	2.01	1.46	1.11	1.41	2.51	0	2.15	2.25	1.60	171.14
bt492	0	0	0	0	0	0	0	0	0	0	46.31	0	33.05	0	5.68	2.19	0.39	0.37	0	0	0	0	0.61	0.02	0	0	0	0	0.28	0.01	0	0.01	0.03	0.01	0	0.02	0	0.02	0	0	0	0	0.01	0	0.02	0	0	0	0	89.03
rt492	0	0	0	0	0	0	0	0	0	0	15.48	0	6.92	0	0.39	0.12	1.13	0.10	0	0	0	0	0.02	0.03	0.01	0	0	0	0.04	0	0	0.01	0	0.01	0	0	0	0.03	0.01	0	0	0	0	0.01	0.02	0	0	0	0	24.33
bg492	0	0	0	0	0	0	0	0	0	0	6.67	0	0.30	0	13.16	11.46	6.69	8.32	0	0	0	0	8.89	4.77	0.59	0.42	0	0	6.46	5.44	0.35	8.58	0.52	0.10	0.06	0.08	7.09	1.57	0.01	0.03	0	0	0.02	0.03	0.06	0	0	0	0	91.67
rg492	0	0	0	0	0	0	0	0	0	0	2.01	0	0.20	0	2.11	2.32	1.61	2.29	0	0	0	0	2.61	0.89	0.30	0.24	0	0	2.18	1.13	0.25	2.14	0.26	0.02	0.02	0.01	2.07	0.60	0	0	0	0	0	0.02	0	0	0	0	0	23.28
cpr492	0	0	0	0	0	0	0	0	0	0	3.54	0	2.89	0	0.97	3.64	4.01	4.43	0	0	0	0	5.84	4.01	3.47	3.20	0	0	2.12	3.28	4.75	4.43	3.06	2.12	1.21	0.70	3.70	5.64	2.48	2.35	1.56	1.02	1.19	1.46	2.22	0	2.72	2.15	1.42	85.58
