TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	30	9.13	41.09	6.41
rt491	0	23	5.74	21.19	4.60
bg491	1	22	6.95	15.29	3.91
rg491	0	20	5.13	24.09	4.91
rp491	1	23	9.64	26.83	5.18
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	14	7.01	10.27	3.20
rg492	0	22	4.97	30.89	5.56
cpr492	1	32	9.84	34.81	5.90
