TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	11	35	21.16	25.03	5.00
rt491	5	36	18.16	40.01	6.33
bg491	2	21	10.57	15.51	3.94
rg491	6	27	17.43	19.37	4.40
rp491	3	61	20.99	110.55	10.51
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	4	20	10.98	11.40	3.38
rg492	6	35	17.76	22.82	4.78
cpr492	4	55	23.81	126.97	11.27
