TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	25	4.15	23.33	4.83
rt491	0	37	1.51	25.49	5.05
bg491	0	13	1.02	3.60	1.90
rg491	0	20	1.13	15.55	3.94
rp491	1	16	6.37	9.47	3.08
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	19	1.80	15.06	3.88
rg492	0	35	1.51	25.67	5.07
cpr492	0	23	7.45	20.13	4.49
