TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	32	66	54.18	55.59	7.46
rt491	25	120	89.39	536.64	23.17
bg491	22	69	52.89	75.04	8.66
rg491	44	120	82.94	330.04	18.17
rp491	36	95	70.23	161.04	12.69
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	34	69	54.51	45.91	6.78
rg492	40	117	80.39	389.56	19.74
cpr492	9	90	66.52	208.93	14.45
