NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	33.21	12.32	3.36	37.20	0.02	1.35	0.92	0.05	0.02	0.58	33.21	12.32	3.35	0	0	1.34	0.91	0.03	0.02	0	0	0	0.01	0.01	0.02	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0	0	140.29
rt491	13.10	1.63	1.24	0.11	0	0.03	0.20	0.07	0	0.01	13.09	1.61	1.23	0	0	0.03	0.18	0.06	0	0	0	0	0	0	0	0	0.02	0	0	0	0.01	0.02	0	0	0	0	0	0.01	0	0.01	0	0	0.01	0	0	0	0	0	0	32.67
bg491	7.30	8.45	8.14	11.77	1.79	11.47	14.72	8.98	13.54	4.54	6.25	0.79	0.58	0	0.38	9.94	7.34	7.36	6.76	0.64	0.01	0.05	6.98	4.85	1.33	0.95	0.10	0	6.78	3.87	1.04	7.61	0.52	0.33	0	0.36	7.28	1.62	0	0.03	0	0	0.06	0.36	0.08	0.22	0	0	0	175.17
rg491	1.82	1.33	0.76	0.83	0.50	1.03	3.11	1.74	2.87	0.79	1.37	0.22	0.27	0	0	0.50	1.48	1.23	1.46	0.26	0	0	0.07	0.54	0.46	0.38	0.02	0	1.41	0.50	0.45	1.11	0.34	0.13	0	0.10	1.61	0.51	0	0.03	0	0	0.08	0.10	0.04	0.05	0	0	0	29.50
rp491	13.44	10.77	6.60	6.43	7.59	6.67	12.67	11.32	9.57	8.04	4.22	2.50	2.66	0	0	0.94	5.74	5.20	6.15	2.56	0	0	0.04	4.26	4.50	3.29	1.17	1.32	2.32	3.92	8.39	6.84	3.12	0.96	0.86	0.59	4.05	3.38	0	1.56	0.83	1.43	0.78	1.17	2.23	1.85	1.71	1.42	1.10	186.16
bt492	0	0	0	35.55	0	0	0	0	0	0	33.60	13.24	5.85	0	0	0.54	0.16	0.06	0	0.02	0	0	0.01	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0	0	0.01	0	0	0	0	0.01	0	0	0	0	89.10
rt492	0	0	0	0.02	0	0	0	0	0	0	15.18	2.00	1.01	0	0	0.05	0.39	0.05	0	0	0	0	0	0	0.20	0.01	0.01	0	0.01	0	0	0.03	0.01	0	0.01	0	0.01	0.02	0	0.01	0	0.01	0	0	0.01	0	0	0	0	19.04
bg492	0	0	0	4.95	0	0	0	0.01	0	0	6.66	0.69	0.50	0	0.61	9.70	8.15	7.96	6.58	0.30	0	0.12	7.17	5.36	0.77	0.64	0.07	0	6.74	4.24	0.82	8.37	0.57	0.08	0.06	0.14	7.04	1.47	0	0	0	0	0.12	0.14	0.09	0.15	0	0	0	90.27
rg492	0	0	0	0.02	0	0	0	0	0	0	1.40	0.16	0.18	0	0	0.73	1.66	1.08	1.24	0.16	0	0	0.08	0.44	0.33	0.30	0.01	0	1.42	0.43	0.27	1.24	0.24	0.05	0	0.04	1.50	0.40	0	0	0	0	0.05	0.05	0	0.08	0	0	0	13.56
cpr492	0	0	0	0.01	0	0	0	0	0	0	4.97	1.78	3.32	0	0	0.87	4.91	5.55	6.48	1.81	0	0	0.04	3.92	5.05	2.61	1.10	0.90	2.14	3.21	7.57	7.02	3.30	1.54	1.01	0.83	4.35	5.56	0	1.42	1.10	1.33	0.94	1.15	1.60	1.63	1.74	1.61	1.20	93.57
