TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	10	4.59	4.36	2.09
rt491	0	5	1.22	1.07	1.04
bg491	0	14	4.41	7.78	2.79
rg491	0	3	0.74	0.47	0.69
rp491	0	36	10.56	37.89	6.16
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	12	4.38	7.44	2.73
rg492	0	3	0.88	0.49	0.70
cpr492	0	29	10.15	32.43	5.69
