TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	42	15.79	118.05	10.86
rt491	0	73	16.78	250.95	15.84
bg491	0	12	3.26	7.45	2.73
rg491	0	15	3.29	12.39	3.52
rp491	0	27	10.17	30.12	5.49
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	13	3.54	8.97	2.99
rg492	0	20	4.37	15.13	3.89
cpr492	0	29	10.82	34.45	5.87
