TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	0	10	0.27	1.72	1.31
rt491	0	1	0.02	0.02	0.14
bg491	0	8	1.44	1.85	1.36
rg491	0	4	0.72	0.66	0.81
rp491	0	14	5.23	11.34	3.37
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	7	1.60	2.50	1.58
rg492	0	5	0.73	0.74	0.86
cpr492	0	12	4.29	6.31	2.51
