TEST	MIN	MAX	MEAN	VAR	S.DEV
bt491	1	14	5.14	9.22	3.04
rt491	0	9	0.95	2.17	1.47
bg491	0	8	1.65	2.09	1.44
rg491	0	9	0.99	1.91	1.38
rp491	0	15	4.36	8.53	2.92
bt492	0	0	0.00	0.00	0.00
rt492	0	0	0.00	0.00	0.00
bg492	0	5	1.37	1.21	1.10
rg492	0	7	1.25	3.13	1.77
cpr492	0	11	3.75	5.73	2.39
