NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	1.54	21.74	1.17	0.60	51.25	0	8.60	2.40	0.02	1.87	1.54	1.72	1.17	0.59	0	0	0.01	0.05	0.02	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	94.34
rt491	0.95	0.66	0.24	0	19.28	0	2.70	0.79	0.17	0.54	0.94	0.64	0.24	0	0	0	0.10	0.04	0.17	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0.02	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	27.53
bg491	6.47	18.07	7.10	3.25	4.43	7.99	15.66	17.03	4.72	9.26	6.00	0.36	0.19	0.03	0.13	7.46	6.20	7.02	4.69	0.27	0.11	6.36	6.91	2.91	0.51	0.47	0.04	0.01	0	2.05	0.36	6.91	0	0.11	0	0	5.30	0.41	0.03	0	0	0	0	0.20	0	0.06	0	0	0	159.08
rg491	2.59	4.91	2.52	1.18	1.67	1.80	5.61	3.47	1.98	2.77	2.35	0.18	0.08	0.04	0	1.59	2.43	2.50	1.94	0.19	0.04	2.41	2.44	1.00	0.30	0.20	0.08	0.01	0	0.96	0.20	2.32	0	0.14	0	0	1.92	0.18	0.04	0	0	0	0	0	0	0.01	0	0	0	52.05
rp491	12.45	13.76	7.13	5.95	10.35	9.77	10.67	12.98	6.54	10.04	5.04	3.55	2.18	0.81	0	5.26	5.58	4.79	4.48	1.79	1.17	3.96	3.85	2.98	6.02	3.58	1.41	0.89	0	3.88	4.90	5.06	0	1.83	1.10	0	2.02	1.36	1.07	1.20	1.34	1.19	1.10	0.33	0.78	0.93	0.97	1.45	0.99	188.48
bt492	0	26.81	0	0	42.64	0	13.36	2.15	0	1.98	0.98	0.91	0.59	0.03	0	0	0.02	0.09	0	0	0	0	0	0	0.02	0.01	0.01	0	0	0.01	0	0	0	0.01	0	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0.01	89.66
rt492	0	0	0	0	19.53	0	2.46	0.88	0	0.46	1.58	0.18	0.49	0.07	0	0.01	0.05	0.05	0.14	0.01	0	0	0	0	0.03	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.96
bg492	0	4.67	0	0	4.01	0	2.90	10.55	0	5.64	6.38	0.27	0.12	0.03	0.18	7.64	6.81	6.89	5.41	0.16	0	6.68	6.53	3.25	0.28	0.26	0.07	0	0	2.91	0.19	7.17	0	0	0	0	5.66	0.46	0.03	0	0	0	0	0.01	0	0.03	0	0	0	95.19
rg492	0	0.02	0	0	1.05	0	0.92	1.69	0	1.73	2.13	0.31	0.11	0.03	0	1.24	1.79	2.13	1.78	0.18	0.01	1.98	1.81	0.70	0.32	0.23	0.03	0	0	0.64	0.16	2.53	0	0.02	0	0	1.82	0.16	0	0	0	0	0	0.02	0	0.04	0	0	0	25.58
cpr492	0	0	0	0	2.85	0	0.83	4.91	0	3.71	5.62	2.47	2.15	0.79	0	4.49	4.51	4.68	5.00	1.55	0.95	4.59	4.13	3.07	4.60	3.00	2.08	0.64	0	4.01	3.94	5.38	0	1.73	1.17	0	2.35	1.69	1.46	1.75	2.05	1.15	0.68	0.35	0.91	0.88	1.42	1.34	1.12	100.00
