NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	1.96	19.42	0.94	52.75	13.09	0	0.48	0.22	0.19	0.01	0.12	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0.04	0	0	0.01	89.25
rt251	0.18	6.35	0	43.09	13.98	0	0.27	0.53	0.60	0.17	0.18	0.01	0	0.03	0.01	0	0.01	0.04	0.41	0	0	0	0	0	0	65.83
bg251	11.65	15.01	2.39	7.41	7.80	2.13	15.66	10.11	11.21	6.12	8.91	6.64	1.93	0.28	0.25	2.13	5.46	7.02	7.31	0	0	6.47	0.14	0.17	0.03	136.23
rg251	3.93	8.19	1.80	4.67	4.84	0.01	9.13	7.87	6.49	4.11	3.93	3.14	1.55	0.46	0.41	0.01	3.18	4.73	4.13	0	0	3.64	0.25	0.03	0.09	76.59
rp251	6.61	15.54	4.93	6.96	5.98	0.01	25.39	9.45	7.62	3.57	6.61	5.14	3.94	2.06	2.10	0.01	5.25	3.72	4.21	0	0	2.56	0.99	1.35	0.22	124.22
bg252	11.08	14.71	1.89	7.14	8.33	2.59	14.36	11.30	11.48	6.73	8.32	6.61	1.68	0.51	0.57	2.59	6.48	7.36	7.36	0	0	6.74	0.12	0.11	0.08	138.14
bg253	2.20	1.93	0.25	6.84	7.63	0	7.59	3.82	4.41	6.06	8.93	5.95	2.13	0.36	0.35	3.03	6.06	7.33	7.58	0	0	6.71	0.12	0.09	0.15	89.52
bt253	1.57	21.06	0.90	50.78	13.65	0	0.61	0.30	0.02	0.03	0.02	0	0	0.01	0	0	0.01	0	0.02	0	0	0.02	0	0	0	89.00
rt253	0	6.13	0	45.46	11.23	0	0.20	0.80	0.08	0.01	0	0	0.56	0.02	0.01	0	0.01	0.01	0.29	0	0	0	0.01	0	0	64.82
rg253	0	1.33	0	3.82	3.83	0	4.62	2.56	2.22	3.20	4.59	3.88	1.50	0.67	0.61	0.02	3.46	4.00	3.94	0	0	3.39	0.34	0.16	0.14	48.28
cpr253	0	1.16	0	4.62	5.46	0	5.65	4.04	5.18	4.27	4.37	5.02	6.76	7.85	6.43	0	4.33	6.16	9.73	0	0	3.54	4.70	4.31	3.78	97.36
