NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	67.67	10.79	6.96	2.86	0.55	0	0.01	0.04	0.17	0.01	0.01	0.01	0.01	0.01	0	0	0	0.01	0	0	0.01	0.01	0.01	0.01	0.01	89.11
rt251	1.56	0.10	0.10	0.15	0.02	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	1.96
bg251	93.38	5.92	1.84	0.41	0.45	0.54	7.54	1.53	0.06	0.03	1.18	1.60	0.15	0.03	0.03	0.54	0.90	0.07	0	0	0.54	0.06	0.06	0	0	116.86
rg251	1.11	0.07	0.09	0.09	0.03	0.01	0.11	0.06	0.02	0.01	0.01	0.02	0	0.06	0.01	0.01	0.02	0.03	0	0	0.02	0	0.01	0	0.01	1.80
rp251	17.77	28.24	6.29	3.74	2.25	1.87	27.44	6.61	1.28	2.09	4.36	2.58	2.05	1.11	0.89	1.87	2.74	2.96	0	0.55	1.06	0.61	0.70	0.65	0.20	119.91
