NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	0.03	33.26	27.54	0.29	22.49	0.04	4.32	0.84	0.20	0.01	0.03	0.04	0.14	0.14	0	0.01	0	0.01	0	0	0.01	0.04	0	0.01	0.01	89.44
rt251	0.42	15.05	10.32	0.01	12.51	0.21	3.40	0.14	0.27	0	0.42	0.01	0.01	0.01	0	0	0.01	0.04	0.25	0	0.01	0.02	0	0	0	43.12
bg251	16.26	16.57	6.16	0.03	6.14	5.16	15.55	8.71	10.87	4.03	8.60	5.91	1.37	0.03	0	2.67	6.92	6.80	7.28	0.04	7.66	7.36	0	0	0	144.12
rg251	9.74	9.98	4.06	0.11	3.90	2.61	10.35	6.34	7.13	2.52	4.87	2.97	1.24	0.11	0.10	1.78	4.35	4.56	4.80	0.04	4.87	5.16	0	0	0	91.59
rp251	8.03	24.81	6.80	0.89	2.29	8.03	25.18	8.85	4.89	1.95	4.95	3.97	3.33	0.34	0.21	3.38	5.58	3.94	3.07	0.23	3.08	3.05	0	0.55	0.02	127.42
