NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	71.44	9.04	0.01	0.01	0.01	5.40	2.62	0.50	0	0	0.07	0.17	0.01	0.01	0	0	0	0.01	0	0	0	0.02	0	0	0.01	89.34
rt251	2.62	0.28	0	0	0	0.20	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.21
bg251	83.23	3.97	0.24	0.02	0	4.43	6.14	1.24	0	0	1.74	0.66	0.14	0.01	0	0.58	1.05	0	0	0	0	0	0.10	0.01	0	103.56
rg251	2.11	0.23	0	0	0	0.35	0.17	0.11	0	0	0.14	0.03	0	0	0	0.03	0.02	0	0	0	0	0.01	0	0	0	3.20
rp251	17.34	24.42	1.86	0.25	0.03	21.10	25.22	6.32	1.30	0	5.14	2.61	1.62	0.13	0.03	2.67	3.92	2.50	1.30	0	0	0.87	0.24	0.12	0	118.99
