NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	69.14	11.16	5.36	2.75	0.28	0.18	0.01	0.17	0.01	0.01	0.04	0.01	0.01	0.01	0	0	0	0.01	0.01	0	0.01	0.01	0.01	0	0	89.17
rt251	6.82	0.72	0.20	0.16	0.09	0.03	0.01	0	0	0.03	0.36	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	8.41
bg251	78.46	3.78	0.94	0.14	0.43	4.37	5.23	0.84	0	0	1.19	0.63	0.06	0	0	0	0.57	0	0	0	0.79	0	0	0	0	97.43
rg251	5.60	0.49	0.17	0.01	0.02	2.23	1.05	0.15	0	0	0.29	0.06	0.01	0	0	0	0.06	0	0	0	0.03	0	0	0	0	10.17
rp251	22.62	23.22	3.91	1.09	0.76	21.95	24.92	4.41	0.97	0.67	4.02	2.02	1.39	0.04	0.03	0	2.88	1.50	0.93	0	0.69	0.42	0.06	0.01	0	118.51
