NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	73.62	10.18	2.78	1.92	0.36	0.01	0.03	0.17	0.02	0.01	0.03	0.01	0	0.01	0	0	0	0.01	0	0.01	0.01	0.01	0.01	0	0	89.17
rt251	12.13	0.80	0.53	0.23	0.14	0.01	0	0.01	0	0	0.16	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	14.01
bg251	90.77	3.35	0.68	0.13	0.46	4.38	4.34	0.51	0	0	0.95	0.23	0	0	0	0.63	0	0	0	0	1.06	0	0	0	0	107.49
rg251	11.20	0.62	0.31	0.04	0	1.93	1.37	0.20	0.02	0	0.17	0.02	0.03	0	0	0.08	0	0.01	0	0	0.05	0	0	0	0	16.05
rp251	26.68	22.13	5.08	1.27	0.92	20.90	24.28	4.64	1.86	0.94	3.73	1.93	1.68	0.12	0.05	1.86	0	1.79	1.01	0.03	1.14	0.54	0.23	0.03	0	122.84
