NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	0.02	4.25	56.90	19.18	0.01	0.02	7.30	0.65	0.67	0.03	0.02	0.07	0.01	0.01	0	0.02	0.14	0.01	0.01	0	0	0.04	0	0	0.01	89.35
rt251	0.01	0.23	32.73	13.20	0	0	6.17	0.54	1.05	0.10	0.01	0.01	0	0	0	0	0	0.07	0.35	0	0	0.03	0	0	0	54.47
bg251	13.65	13.45	7.92	6.55	0.20	3.93	18.88	8.76	11.62	4.44	8.82	6.63	1.94	0.22	0.16	3.93	6.86	7.01	7.39	0.18	4.83	6.64	0.14	0	0.04	144.19
rg251	7.81	8.73	5.66	4.35	0.52	2.52	13.36	7.26	8.50	2.98	4.83	3.33	1.61	0.59	0.39	2.52	4.35	5.12	5.35	0.24	2.98	5.35	0.24	0	0.13	98.72
rp251	8.22	8.23	10.42	3.75	0.91	3.29	38.04	9.19	6.63	2.95	5.22	4.65	3.27	0.88	0.62	3.29	4.92	4.67	4.05	0.73	3.00	3.30	1.41	0	0.29	131.93
bg252	13.33	13.26	8.39	5.95	0.41	4.78	17.09	9.18	11.57	5.18	8.66	6.17	1.83	0.45	0.41	4.78	7.66	7.23	7.46	0.18	4.67	6.99	0.12	0	0	145.75
bg253	0	0.25	5.77	5.96	0	0	9.54	2.40	4.49	4.32	8.90	5.71	1.92	0.30	0.37	5.29	6.56	7.50	7.68	0.15	4.45	7.35	0.10	0	0.06	89.07
bt253	0	4.17	55.90	17.47	0	0	11.06	0.30	0.01	0	0.01	0.01	0	0.01	0	0	0.01	0	0.02	0	0.03	0	0	0	0	89.00
rt253	0	0.21	31.33	16.55	0	0	5.09	0.38	0.56	0.17	0	0	0	0.01	0	0	0.01	0.04	0.32	0	0	0.01	0	0	0.01	54.69
rg253	0	0.01	3.72	3.62	0	0	6.98	1.95	2.46	2.98	5.15	4.12	1.73	0.52	0.36	2.58	3.97	4.75	4.93	0.15	3.73	4.50	0.25	0	0.08	58.54
cpr253	0	0.04	3.47	3.65	0	0	12.62	2.34	3.90	2.33	3.42	3.56	5.48	5.85	4.03	2.98	5.56	10.70	9.02	3.21	3.68	5.54	4.33	0	2.56	98.27
