TEST	MIN	MAX	MEAN	VAR	S.DEV
bt251	6	45	25.36	84.42	9.19
rt251	0	40	16.90	99.04	9.95
bg251	6	31	19.22	33.03	5.75
rg251	0	26	10.76	43.60	6.60
rp251	13	55	34.58	76.80	8.76
