TEST	MIN	MAX	MEAN	VAR	S.DEV
bt251	0	15	6.84	8.04	2.84
rt251	0	10	2.90	3.39	1.84
bg251	0	8	2.47	3.05	1.75
rg251	0	8	2.72	2.88	1.70
rp251	9	43	23.59	53.72	7.33
bg252	0	9	2.16	2.37	1.54
bg253	0	7	1.94	2.50	1.58
bt253	2	15	7.75	6.17	2.48
rt253	0	8	2.75	3.09	1.76
rg253	0	70	3.54	47.71	6.91
cpr253	4	46	16.27	70.30	8.38
