NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	68.23	12.08	6.89	1.87	0.07	0.01	0.03	0.04	0.02	0.01	0.01	0.01	0	0.01	0	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	89.33
rt251	5.55	0.76	0.74	0.16	0.10	0.01	0.01	0.01	0	0	0.05	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	7.38
bg251	80.26	4.30	1.18	0.19	0.34	4.85	5.19	1.30	0	0	1.28	0.72	0	0	0	0.48	0.53	0	0	0	0.85	0	0	0	0	101.47
rg251	5.16	0.52	0.28	0.04	0.01	1.03	0.86	0.30	0	0	0.12	0.02	0	0	0	0.02	0.02	0	0	0	0.01	0	0	0	0	8.39
rp251	20.42	26.06	3.96	1.31	0.89	20.22	27.08	5.06	2.07	0.94	3.71	2.14	0	0.11	0.02	1.53	2.93	1.39	1.27	0.06	0.92	0.39	0.05	0.07	0.03	122.63
