NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	0	0.06	47.07	0.46	32.66	0.93	3.94	0.01	3.31	0.59	0	0.02	0.18	0.46	0.28	0.17	0.01	0.01	0.01	0.09	0	0.04	0	0	0	90.27
rt251	0	0.02	0.07	0.01	24.42	0	0.51	0.01	2.23	1.40	0	0.02	0.01	0.01	0	0	0.01	0.01	0.26	0.01	0	0	0.01	0	0	29.00
bg251	3.44	13.27	9.36	0.68	7.05	8.24	18.25	7.99	13.69	7.09	0	6.52	3.34	0.31	0.39	6.25	7.28	7.99	8.06	0.29	3.44	6.75	0.27	0.37	0	140.32
rg251	0.64	3.55	1.69	0.31	2.41	1.34	3.61	2.25	4.16	2.02	0	1.68	1.37	0.26	0.35	1.33	2.06	2.25	2.42	0.14	0.64	1.87	0.31	0.05	0	36.71
rp251	0.72	9.50	8.98	8.15	7.22	1.69	9.17	5.74	13.62	8.99	0	5.48	6.05	3.54	3.11	1.69	6.71	5.74	8.44	3.91	0.72	4.02	2.92	4.61	0	130.72
bg252	3.07	14.05	10.04	0.73	7.67	7.88	16.38	8.09	13.83	7.36	0	7.04	3.64	0.56	0.74	6.33	7.35	8.09	8.00	0.49	3.07	7.01	0.30	0.17	0	141.89
bg253	0	0	5.51	0	7.15	1.14	9.68	0	5.93	6.88	0	6.14	4.07	0.32	0.46	7.12	8.08	8.04	8.00	0.32	2.80	7.31	0.23	0.02	0	89.20
bt253	0	0	46.88	0	31.30	0.86	4.77	0	3.88	0.91	0	0.04	0.02	0.01	0	0	0.01	0	0.02	0	0.03	0.28	0	0	0	89.01
rt253	0	0	0.06	0	23.07	0	0.44	0	1.43	1.94	0	0.15	0	0.01	0	0	0.01	0.04	0.22	0.01	0	0	0	0	0	27.38
rg253	0	0	0.03	0	1.70	0	1.47	0	1.24	2.01	0	1.99	1.28	0.44	0.38	1.42	1.86	1.97	2.55	0.26	0.74	1.83	0.29	0.25	0	21.71
cpr253	0	0	0.01	0	3.56	0	0.35	0	5.05	5.13	0	3.92	5.29	8.20	6.10	0.93	4.45	5.11	13.64	5.99	0.30	4.16	6.06	6.38	0	84.63
