NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	0.01	39.59	42.10	5.68	1.52	0.15	0.01	0.04	0.04	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0	0	0.01	0	0.02	0	0.01	0.01	89.27
rt251	0.29	31.43	37.76	7.89	1.07	0.01	0.02	0.02	0.35	0.03	0.29	0.01	0	0.04	0	0	0	0.01	0.29	0.01	0	0.01	0	0	0	79.52
bg251	10.11	13.55	10.05	6.95	8.12	5.20	9.55	8.41	10.43	7.10	9.03	5.87	1.18	0.03	0	1.26	4.53	7.20	7.15	0.11	1.08	4.67	0.03	0.03	0	131.64
rg251	6.71	10.07	8.46	4.70	6.37	3.90	10.26	7.59	9.67	5.39	6.25	3.34	1.56	0.07	0	1.11	3.63	5.91	5.89	0.06	0.46	3.36	0	0	0	104.76
rp251	5.46	21.93	8.34	3.08	2.69	17.04	22.05	6.70	4.49	2.41	4.97	2.96	2.50	0.23	0	2.36	3.42	2.26	2.41	0.15	0.49	1.29	0.07	0.03	0	117.33
bg252	9.37	14.80	10.37	5.70	8.09	6.01	10.47	8.29	10.56	6.58	8.16	5.06	1.55	0.06	0	2.32	4.88	6.81	6.96	0.12	1.21	5.29	0.03	0.03	0	132.72
bg253	0	4.30	8.00	6.14	7.94	3.49	4.55	1.16	4.30	6.89	8.23	4.64	1.53	0.04	0	2.64	5.04	7.25	7.37	0.12	1.62	4.52	0	0	0	89.77
bt253	0	42.31	37.77	5.52	3.03	0.01	0.28	0	0.01	0.01	0	0.01	0	0	0	0.01	0	0	0.03	0	0	0	0.01	0	0	89.00
rt253	0	29.48	40.80	7.05	1.23	0	0.03	0.55	0.05	0.01	0.01	0.01	0	0.04	0	0	0.01	0.02	0.22	0	0	0	0	0	0	79.51
rg253	0	3.68	6.59	4.59	6.01	3.08	5.34	1.97	2.76	5.01	6.50	3.63	1.64	0.04	0	1.27	3.98	5.58	5.35	0.08	1.09	3.31	0	0	0	71.50
cpr253	0	9.31	5.93	4.72	4.43	5.70	15.33	3.66	5.45	5.17	5.92	3.87	4.64	3.76	0	2.74	4.41	4.59	6.27	2.47	0.19	1.96	0.98	1.04	1.22	103.76
