TEST	MIN	MAX	MEAN	VAR	S.DEV
bt251	7	51	30.10	109.42	10.46
rt251	1	74	28.25	323.80	17.99
bg251	9	33	18.36	22.49	4.74
rg251	0	33	8.13	40.35	6.35
rp251	10	57	37.52	86.87	9.32
bg252	9	33	18.82	20.79	4.56
bg253	9	29	18.89	16.28	4.03
bt253	7	48	32.38	76.08	8.72
rt253	0	70	24.37	280.21	16.74
rg253	0	26	7.62	30.24	5.50
cpr253	2	32	18.11	43.18	6.57
