NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	130.19	0.01	9.14	0.35	0.14	0.07	0.06	0.21	0.08	0.03	0.05	0.01	0.03	0.01	0.01	0.04	0.01	0.02	0.03	0	0.01	0	0.01	0.01	0	140.51
rt251	103.62	0	1.05	0.01	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104.70
bg251	95.74	0.10	0	0	0.32	1.69	0.97	0.09	0	0	0.37	0.10	0	0	0	0.29	0	0.09	0	0	0.35	0	0	0	0	100.11
rg251	93.59	0	0.02	0.02	0.02	0.88	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.02
rp251	165.32	0.01	0.03	0	0.06	0.48	0.70	0.06	0.01	0	0	0.01	0	0	0	0.01	0	0.06	0.01	0	0	0	0	0	0	166.76
bg252	94.10	0	0	0	0	2.65	0.70	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	98.01
bg253	95.01	0	0	0	0	1.49	0.86	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.30	0	0	0	0	97.68
bt253	137.39	0	4.09	0.15	0.05	0.05	0.02	0.01	0	0.02	0	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	141.81
rt253	100.55	0	2.25	0	0.01	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.83
rg253	93.42	0	0.02	0	0	0.99	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.75
cpr253	114.90	0	0.01	0.09	0.05	0.02	0.02	0.05	0.04	0.01	0.04	0.02	0.05	0.14	0.16	0	0	0.03	0.10	0	0.04	0	0.14	0	0	115.91
