NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	73.57	10.85	2.54	2.02	0.07	0.01	0.03	0.04	0.01	0.01	0.02	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0	0.01	89.22
rt251	10.27	0.97	0.75	0.14	0.10	0.03	0	0.01	0.01	0	0.24	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	12.53
bg251	91.74	3.24	0.51	0.19	0.63	4.51	4.25	0.80	0	0	0.71	0	0	0	0	0.28	0.01	0	0	0	1.16	0	0	0	0	108.03
rg251	9.03	0.61	0.37	0.07	0.03	3.06	2.18	0.38	0.01	0	0.09	0	0.01	0	0	0.05	0	0.01	0	0	0.06	0	0	0	0	15.96
rp251	22.35	23.71	4.51	1.36	0.71	23.56	29.58	4.95	1.78	0.02	3.58	0	1.46	0.07	0.04	1.72	2.63	1.64	0.96	0.02	0.74	0.52	0.05	0.01	0	125.97
