NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	65.77	0.02	0.14	1.32	13.07	5.01	2.42	1.00	0.35	0.01	0.02	0.02	0.14	0.14	0.12	0.01	0.01	0.01	0	0.01	0	0	0	0.01	0.14	89.75
rt251	2.10	0	0.01	0	0	0.15	0.09	0.01	0.03	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	2.45
bg251	85.90	1.70	0.76	0.15	0.59	6.38	8.65	1.93	0.45	0.23	1.37	1.70	0.66	0.10	0.08	1.41	1.56	0.40	0.22	0.04	1.89	0	0.10	0.05	0	116.32
rg251	1.61	0.05	0.05	0.02	0.01	0.32	0.38	0.08	0	0	0.09	0.05	0.01	0.01	0.01	0.08	0.09	0	0	0	0.06	0	0.04	0.01	0	2.97
rp251	15.89	4.74	3.52	1.50	0.21	25.20	34.64	8.00	3.40	0.19	6.32	4.74	2.45	0.62	0.21	2.91	5.63	3.55	1.89	0.19	2.49	0	1.07	0.88	0	130.24
bg252	86.84	1.99	0.83	0.20	0.42	5.93	7.51	1.82	0.53	0.20	1.10	1.99	0.72	0.17	0.09	1.35	1.74	0.35	0.24	0.07	0.61	0	0.11	0.03	0	114.84
bg253	89.49	0	0	0.14	0.22	3.94	4.86	1.36	0.40	0.03	1.01	1.21	0.57	0.15	0.18	0.82	1.19	0.32	0.16	0.09	0.86	0	0.12	0	0	107.12
bt253	69.74	0	0	0.53	11.30	4.58	2.65	0	0.04	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.13
rt253	1.73	0	0	0	0	0.19	0.11	0.05	0	0	0.01	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	2.20
rg253	1.72	0	0	0	0	0.22	0.32	0.05	0	0	0.16	0.06	0.01	0.02	0	0.11	0.17	0.06	0.02	0	0.05	0	0.01	0.01	0	2.99
cpr253	4.94	0	0	0	0	1.09	2.64	2.29	1.49	0	2.87	3.22	1.74	8.49	2.39	2.81	6.27	3.45	2.34	4.85	3.09	0	18.86	14.61	3.11	90.55
