TEST	MIN	MAX	MEAN	VAR	S.DEV
bt251	0	17	7.01	8.05	2.84
rt251	0	7	2.83	2.81	1.68
bg251	0	9	1.89	2.36	1.54
rg251	0	8	1.68	1.52	1.23
rp251	10	42	25.94	54.84	7.41
bg252	0	8	1.91	2.38	1.54
bg253	0	6	1.59	1.60	1.27
bt253	0	15	6.61	7.76	2.79
rt253	0	8	2.91	3.62	1.90
rg253	0	8	1.97	2.03	1.42
cpr253	1	35	15.24	67.76	8.23
